ticker,shares
XRX,234513143
CBT,59722349
CYAD,11967955
LXRX,107556194
SBLK,95008695
CTIB,3920469
FFIV,61319704
BBT,771128247
VGM,54560990
MCC,55273031
STI,453932923
AXR,8146128
EGLE,76137366
RIO,1275021023
CCM,28946429
CRON,346773899
AIMT,65550228
PDFS,32935762
IDT,25310116
ROP,106237581
JOUT,9234111
FHB,141152939
TBPH,58302909
FMO,36339238
TU,628296024
KEG,20437253
ABG,19924581
SILC,7723363
SWIR,37435539
ENTX,11870792
AMWD,16875409
ATU,62132428
NANO,25080728
INB,23505910
MCFT,18766561
HRZN,14009619
CRBP,66069273
COP,1178319403
NAVI,242076913
JEF,291946956
OHI,219730367
WIX,50992889
OPOF,5212039
ORA,51622683
CPRT,235335652
HAS,130356929
HAIN,108240978
FCAP,3404079
PDS,305346058
FLEX,521543173
ALEC,71168627
BIOL,22162168
CTHR,21792606
ADT,773977439
CBIO,12578072
FC,14647690
RDS.A,2236112737
AMAT,976150759
PUB,19649078
DLPN,14805127
WTBA,16379603
STMP,18128848
NR,93046081
WNEB,27810786
NYMX,71034244
MIDD,58053898
ESI,269810674
KBH,88711632
ARL,16414642
BSQR,13192905
PFIS,7661077
ADAP,106533416
LYL,11513596
CLUB,28303802
ANSS,87282405
WSO,32360610
BBY,267999412
ORC,53917450
GWPH,31613695
MPO,20694116
NUS,56994995
PAYS,48546027
CNF,70622197
SQM,126168343
VRA,34631511
TVTY,49719073
AVGO,412036370
RTN,285653558
CMPR,30989290
SPAQ,57418938
VLRX,5416364
VSTO,60468096
FLIR,137682875
BIT,37767119
ABDC,13180352
BBCP,61097393
MGRC,25098716
ARDX,63573026
COF,478199974
MBIN,29553467
PSA,176464195
CLDB,4408723
DZSI,21399104
UBS,3729538694
KOP,20867558
CACI,25053119
COE,5747777
LII,40092268
BE,60037020
CLDX,12053709
FLGT,18839041
GE,8993389454
PEI,79250740
AGI,403870982
PNFP,79135349
PKOH,12995289
IRWD,156569607
QCOM,1269813671
JASN,29321639
SBUX,1255169649
NEO,104660100
KSS,167488031
NAN,32596667
TBIO,53090312
ITRN,21612006
JKHY,78761693
NVT,182595475
INGN,22386346
TFX,46522442
INFO,419046824
PETS,20578062
MPVD,217630145
SLAB,44635405
EMCI,22444198
CORR,13061101
HVBC,2310477
TY,55474937
GES,71722385
ACHN,140700631
QURE,37731940
DUK,733903345
JFIN,25447972
SMTX,24302273
JHG,199173714
ATHE,15039166
TUFN,33512773
HYRE,12766708
ARA,33499807
WM,439106372
SSTK,35659035
BABA,2606573463
FFBC,100852771
VST,498433581
KBLM,9878873
CHWY,56137462
CARV,3699318
LSTR,41545833
AMRK,7222813
WTTR,79497172
STNL,35878532
CHEK,8378203
SAH,32456365
SITE,42636953
CWK,223872097
ACTG,51508431
VIRC,15697208
PUMP,101108079
TNP,90127076
LBAI,52835546
PAG,84794325
NJR,91155883
R,54044666
WEBK,2612834
WNC,57321182
SPWR,143655347
DTE,192038430
UDR,293171549
LLY,1017575517
ETFC,250810688
ASC,33220099
PARR,50679675
NX,33890800
LILA,50536445
PCYO,24336668
CVLY,9822612
NOK,5778948931
ANAB,27529149
FCBP,12187498
SANW,34244532
VSLR,121123536
BSBR,7657414801
SYNL,9312721
ODC,5418140
CCNE,15452563
BABY,35659988
HDSN,43773919
WKHS,67953512
CR,61323986
RS,70171477
ANF,66239728
AWP,89643702
ESTA,20705674
HQH,44197376
FIVE,56155641
MNRO,34651763
AFL,776053897
VVR,180606507
LMNR,18234372
HXL,87534287
MRO,847094879
CODX,17608197
FTV,341598154
DBX,233226102
LEAF,26360507
EXP,46188243
CRTO,67086559
STRM,22104711
RGR,18117492
KRO,121624058
VKQ,57946385
DMB,18453178
AVAL,358219934
FOCS,47666036
ONE,108519654
AX,64333765
MDB,37742989
LECO,64764473
PACD,78157215
GGB,1165247084
HFWA,37274299
OXY,778084154
EL,227249002
MUJ,31009614
KALU,16867050
NCZ,76261881
SWKS,174106022
SEIC,157315166
DMRC,12226470
HMN,41261650
BMCH,68661409
MXL,74006015
FOSL,50385196
FDEU,17928176
RBZ,5838584
LK,41955453
VICI,428028268
NTNX,158479537
PCYG,20560549
MNSB,5806354
SPNS,51208645
LBRT,71010047
WEN,241646558
TGEN,25044314
SKT,97791837
TRI,508422322
PRTK,33240761
LABL,21003158
NGVT,42360867
CRD.B,23943549
BH.A,216775
VSI,24303104
GPOR,165043181
CLW,17044294
SFBS,56174496
DHR,739658670
MCBC,35407500
SMMT,33005663
D,806499806
CLAR,30286891
RELL,11341039
PINS,89242589
CORV,41363284
IBP,30750589
AMAG,34170755
FRBK,60884370
PACW,124576919
CRD.A,32037049
CI,395808276
MOGU,99298817
TACT,7531149
ESTE,29280730
KPTI,62946922
COWN,29724655
OMI,63297565
FLNG,55913369
CYBE,7295218
FEIM,9140915
WY,757894436
VUZI,28680936
I,140650085
PHM,280817793
BMA,66472509
SPSC,18320814
GNW,526306343
NEXT,110849687
AYR,75122912
OIBR.C,1170736322
PLPC,5126737
TOCA,24000293
CAJ,1091877868
PETQ,23148785
JAZZ,57165265
SID,1386898012
CDXS,58054771
SMTC,67365809
AAL,455109163
AIF,14642833
ITIC,1889855
RVI,19444480
ENS,43281165
WTR,224959160
BDGE,19899470
DRYS,90667047
AGO,102120500
AVH,43817407
HTBI,18266264
GRC,26480689
LPG,55615843
BCRX,112404140
ATRI,1919217
TTMI,109621061
FVCB,14373004
CNC,422523434
BKSC,5710553
UMC,2412742782
MMC,528234796
HNNA,8093669
ALTM,75620838
ADES,19132752
DD,774235378
PNNT,69888406
CSSE,4354073
NBRV,74067209
MBRX,47359978
TC,60008708
CFFN,143993565
CDW,149266247
HHS,6317180
LHC,20819589
BOX,150550881
HWC,89553692
SGC,15590657
DENN,62232288
ANTM,259816837
MSI,166433513
JLL,45887158
SANM,70477897
ENFC,7149822
GPI,18658361
PSNL,31779325
EVT,73698109
AVA,69027826
SCS,91845521
APLE,224082798
SWCH,79129216
GT,239474006
CASA,86916298
UCTT,39954604
ROSE,14862778
LPTX,23573554
CELC,10368924
ADNT,95493119
DAKT,45341599
GCBC,8728760
XLRN,52722360
GDI,208006562
GCP,75863367
SMP,22515247
VMI,22339629
TEF,5366340138
SSNT,4507713
PCTI,18857089
FORM,77116987
SNSS,75573452
AOBC,55144061
USAP,8788469
HZNP,190202719
MRUS,24279675
TR,40759016
FFG,24688518
APLS,65940918
PACQ,43456736
WD,31808158
COO,50065758
ALRM,49229127
GNFT,40467319
PRGX,24744817
YETI,86075808
STAA,45037716
RTIX,76734130
BLCM,46028870
HVT,19662040
APH,312822133
ATRA,47634090
HRS,120996338
EPC,54715861
ICHR,22498714
ATRO,25559818
ATHX,156802134
PRU,424855493
RGT,10498934
TAST,46061512
SPB,49162253
ALOT,7011016
CTG,14236768
DLTR,244396794
VRTU,31018399
EPIX,6594272
RWT,100241874
HWKN,10858103
MELR,2356577
SHSP,11336944
KRA,32104695
RVEN,11301527
TRHC,22582739
EKSO,77891618
SFNC,95973704
MBCN,3335836
LEE,58078047
CIB,130819105
NGVC,22745385
TCMD,19689899
CF,228435167
XOG,166375160
OBCI,9542943
CEVA,23071467
WAL,107800474
RYAM,51034788
IDSA,8418011
NVIV,9351041
FRC,165629574
DRH,209793512
LIQT,20566238
KALA,34347690
XYF,107373431
EPRT,44783912
CSFL,132427352
NSIT,36883634
HT,40824344
ARTL,2945448
CVCY,13819211
SSRM,121498590
DL,34167804
ACP,13132012
CEL,117225421
PCMI,12806645
AQXP,23861732
FORTY,15603777
AVD,31203737
FTCH,261713565
DVA,167420298
ZAYO,237138539
CHS,118248995
PQG,142414365
KZR,19204721
CSOD,61703749
NOMD,195794123
TMK,114198835
MWK,18325099
AGX,16315277
LNC,204244507
SPWH,43322872
ITT,90471920
LTRPB,2959826
HUBG,34493045
MKSI,56992586
TLYS,22284825
KO,4384407460
VOXX,22063531
JG,93052666
PB,72699656
HRL,558653659
RECN,32940394
MYRG,16968552
RUBI,53037030
THFF,12501791
UBX,43352652
LE,32952333
ANGO,38744199
OMCL,42782234
ASH,65365969
SMBC,9425742
HFBC,6913424
BFAM,60128587
CFBK,4519345
GLDD,65477704
CWEN,76008008
SKY,58208480
EXPE,138542448
JJSF,19684561
LITE,76405826
BHP,1541456630
WTER,41694934
CIO,40941260
DNOW,112287134
MCD,793028057
HIMX,173145422
SVMK,135253193
MRCC,20645726
CRNT,83488853
DOCU,174525437
CRS,48301230
TYHT,23997620
OCC,7735027
RGS,40039324
KOD,37915384
NFBK,52182851
OGI,158722028
NWSA,388939191
GRNQ,55689840
JD,1277903253
FND,99879245
AVDR,17435128
HWCC,17301207
CHTR,228407991
LONE,26079999
DMAC,159484957
JFR,56988488
PRSC,12908597
BK,962219279
STN,112365428
MTC,20156158
XYL,184624111
GTIM,12616075
III,48277202
VALU,9958258
MTP,21098027
APTO,46054661
GBDC,60917894
ZFGN,38707977
IBCP,24586715
PDSB,5345448
PSEC,370514773
CHRW,136581264
XOM,4296280168
IGT,205734711
MYOS,9244165
PLCE,16537889
NESR,90810733
RCII,56553336
MPAA,18852739
AMRB,6130274
CIA,50132701
BMO,663443200
GHL,22064314
CBAT,26839105
DAVE,9644716
AMGN,619185524
PHUN,4049237
LOPE,50424659
PRMW,40480878
ESGR,18555273
GASS,40164624
ENPH,114158758
FELE,46710217
CPK,16501294
DRI,125031657
MDGS,3880015
ESLT,44084532
BRKS,75250125
NCMI,82361583
MFC,2056126812
PMM,50363485
CSPI,4214439
INNT,36425409
NTGN,28631811
CYOU,16259606
VIOT,30808235
BHE,38914855
NVDA,631598183
SBI,14434865
HFBL,1932199
GLYC,44695124
ZYXI,33644198
MPB,8825670
AKRX,131132741
SGBX,5320943
CMG,28122843
HEAR,15027913
TRTN,79902893
EXEL,309257721
MSB,13728403
ADI,380671704
STZ.B,24066348
BANC,52120835
IONS,147018272
GPMT,54413220
CACC,19299229
SUI,91712721
ELF,51886452
RCL,210443767
SEM,139164828
RYB,22798190
ORBC,82800774
CDMO,57533155
DAN,149441963
MDGL,15667423
WVFC,2005097
MRSN,23435587
LMT,286372031
WORX,6854924
DARE,16809849
FUN,57767760
REXN,4171926
CIDM,36043405
DOOR,26231256
AXGT,23492891
CHGG,124025126
RDS.B,1929769827
BCTF,3436506
NWS,204153227
FBSS,3827752
SFIX,51536745
FIX,37237032
XIN,62617344
NPN,1264854
OSMT,54786885
MEC,20199974
ASPU,19243800
DORM,34488871
MTDR,117549124
COHR,24545775
VSTM,75200847
TRWH,41922166
BOMN,21692452
PWOD,4856120
MYC,21856332
VTN,19723365
DCPH,38795804
GSK,2487310802
BLD,34645665
GRBK,53203463
JMLP,14124953
HBNC,47189735
IAC,79821496
ANET,77089645
DLTH,29912935
CHAP,46691593
OSG,87722412
FCCO,7873200
MTSI,66294392
RUHN,47542471
BRKL,83401146
HSY,150568254
JMF,41415607
INSE,23208212
WBT,143708633
IBKC,56709491
ABT,1805664109
MDLZ,1456021095
INCY,215290115
CTRE,98366693
VTIQ,29999406
HBB,9628338
RTRX,42634402
SAFE,31542215
CHFS,2304725
MA,1045908568
PPSI,8904447
MEI,37159100
INSM,89148451
TDY,37503947
FDBC,3781512
RDWR,47550407
TRK,41220744
AEO,176606502
AEYE,7863470
LIVX,52929614
PTGX,23709854
TLRA,46134219
GO,91788946
EROS,54067826
CHRA,29581300
CBLI,11435643
NP,16991457
NSSC,18943759
VIA,50583993
CHW,61085227
AKRO,27416994
KF,5460840
ISIG,11969556
FLDM,71692151
COKE,7295474
ABUS,57610529
WRE,80373360
STC,23771589
TTC,109772628
PRPO,6026745
ECPG,31917910
MIME,61345778
BCX,93323806
DGICA,23380839
PRQR,39693685
TIGO,104387023
GGG,174015721
PBCT,411780942
FBC,58284177
BAM,1038680212
WRK,260495825
NMRK,163966434
FONR,6474293
GEOS,13973569
KIRK,14526200
NUAN,291065159
TTS,52990523
BKD,193209546
HABT,21042265
NBTB,45635360
DIOD,50834276
GENC,12551412
DAIO,8468072
CBS.A,22863287
WBA,959339087
NCBS,9738179
GEF.B,22463067
DRNA,68546105
LKFN,25471898
SJT,47035041
SVRA,36532336
NOC,173686515
CMA,161651980
ATHM,122147658
FTAI,86072034
K,356744050
EVTC,74192537
RLH,25739079
BIG,39808190
WHG,9323478
ITRI,40651373
TTI,129210288
TDG,53964555
FLXN,38530104
PIRS,51428957
STKL,88326373
UFPI,63307950
BCPC,33807821
CW,43681642
FLS,134857040
NXR,13273729
GOOD,31410339
SBFG,6693055
TCRR,24626054
ETN,437848133
MERC,65794934
GLPI,221636875
CCC,316722353
MAR,333594238
IIVI,64607373
PJC,14394965
ASND,49211381
CONN,33089133
ENZ,49227149
RETO,22959350
EEX,73135326
TFSL,286560845
VHI,355462670
PICO,20566730
VEDL,953954948
BBW,15720355
CTB,50650835
RARE,59520998
EQS,13952458
FIBK,44900893
RIG,625378582
CYAN,6079178
NCI,39584280
TKR,79778335
SOHU,40625865
BFS,23843182
CWCO,15029361
TTEK,55561207
SPRT,19445339
RTW,66906405
EGO,164801803
MMDM,20348350
SENEA,7980257
WELL,415109453
PTI,51221376
TPCO,37431298
IHG,183520953
VLRS,93321332
SNDE,6917808
EDRY,2382261
AZRX,21510391
BKYI,14124742
CERN,329904558
WDR,78790093
PLSE,21033237
PK,201613840
EXLS,35013946
MMM,587005766
CFBI,7655039
EVRI,73475404
FTR,108354884
VISL,2025618
SPI,6638605
OSW,63489611
BFST,13978542
ATO,122752936
BHR,33174827
KBAL,36886412
CHSP,63438964
NC,5449549
MRNA,345248181
BDN,183436437
CORT,116233373
GMRE,35834830
TSLX,69179026
XEC,102622954
FISV,398727967
BTA,13429162
FRSX,31263007
SUNS,16473665
LSXMK,213169961
GAM,26130405
SLRC,43249535
CMU,29177293
DBD,80334080
MINI,46262858
VBIV,100376243
BHF,118228551
HPQ,1554749495
CARB,36055714
LOVE,14988653
ALLK,43170549
SNDX,27335850
TIF,123195906
OXFD,26956773
SQ,338066765
DNJR,15012220
NBIX,94309397
TRU,195137070
LUV,568944484
FG,228163929
MAC,141396216
MAT,352871233
IMAX,62068921
INST,37812520
LJPC,27209696
BKH,60451841
GLW,808531676
WWR,1504842
SSP,71408863
FLR,141329487
DEX,13147493
SALM,21440420
ACH,162066207
QBAK,1963495
AES,690478059
CUK,205226918
VCV,50053601
BGG,43225502
RRR,73231395
AUB,84953038
ADSW,88934477
CMRE,119006322
IVC,35254156
SOLO,33551847
SITC,183007209
STND,4940441
EBTC,12164991
GEN,106092804
FMX,217838492
JRSH,1469954
RILY,26540702
GGZ,9965526
BCML,12122718
TM,1439694370
CJJD,34247996
MNTX,19888670
SBPH,17087184
ATAI,23854289
DCF,15449372
FDP,50049802
PCH,68659877
MKC,124912620
TITN,22758635
MGIC,49536650
STIM,18907013
OUT,147560567
OGE,206095964
ABIL,8202360
FOLD,262264183
BFIN,15773324
NBB,35422887
CRVS,29972194
CWST,47725361
BMI,29466173
HBIO,38071648
NWE,51942762
ONCY,17385824
RPM,133781506
ASMB,26775737
NEW,86186120
CGO,8920809
TTPH,54962219
XEL,528923275
FCFS,45037242
CLBK,116713765
HRTG,31185784
KLIC,66948555
NTCT,80678796
TX,200121077
TEAM,120070403
FPF,63428861
CORE,47268941
VIAB,360414350
AL,115387648
CBMB,4071350
AEE,257698003
AMSC,22613928
PAYC,59035283
RUSHB,8727998
WB,125130241
BLBD,26929778
CPRI,155317266
JMIA,79823913
AP,12760134
IX,266736389
ITRM,14516702
BCH,515081534
AUTL,42046216
CHD,248743677
KZIA,6258301
RDNT,51766350
OTEX,273195793
SM,114068819
BH,2153496
LQDT,34206756
FDUS,25552425
MTR,1888145
BZM,2157229
MUR,178400396
PLNT,87895975
NPTN,48084356
FR,131539169
MTD,25835495
MUX,360220334
MCY,55427283
MLM,64898905
PTE,26263105
GVP,20961424
RBKB,11359483
KMB,351012355
EVR,41985624
FAT,12027067
CSTE,36007381
OFS,13977159
ARNA,51172348
WSBC,55243326
TRVN,96852916
CRL,50156105
LGND,19690470
STRA,22068633
RNWK,39490353
TCDA,51439291
CATC,4973442
HCAP,6216603
AY,102944643
IMGN,154791793
GLOG,82155036
ENDP,226306411
WRLS,33261363
CMRX,52963075
RACE,187241879
BWEN,16468488
EVER,10223209
LN,240462700
XLNX,252412403
APD,224296901
CBS,352544703
X,172612154
FOX,278691138
CAAP,163610041
BEST,255487815
JAX,15040306
PFE,5736604043
GFN,31345421
OPB,37003564
QUMU,9798067
IDEX,74500149
VNTR,110124527
SBCF,51628233
CCEP,479662093
WHLR,10056371
CAT,593551193
SND,42867901
HCFT,23879845
PMF,26989133
IEX,78798888
CSQ,155139681
AGRO,117045311
MSA,40284752
ROAN,158998144
BXG,75255317
RAVN,36928438
OPES,15222957
GSH,29459286
EPD,2278150318
CX,1571292318
BERY,136066616
TMUS,886623729
XTLB,5335010
STAG,128633177
FITB,763666087
FMAO,11436728
BEDU,24322201
ORCL,3339939549
RDUS,46536331
RLI,45735470
CAG,498804288
PDD,596815128
LYV,215796232
XRAY,238784114
BNSO,4771945
MDRX,167282700
CIC,41205716
BLUE,57138897
RRBI,7587893
KLDO,30168369
ARLO,78050262
GDV,82796589
PKI,115555132
BCO,51931769
AFT,15837336
FICO,30063613
MCRN,71139074
WRB,189800739
SMBK,14285773
FUL,51010805
IEA,22361999
APTX,34685351
OPK,642971393
APEI,16895798
KLAC,164979665
TEN,59401084
LOOP,34894207
ASYS,14493461
JBL,159563478
PWR,143495510
WU,442269522
ZTO,583975505
AKO.B,82572427
SHOO,89366834
SVVC,7474938
CBTX,26230800
DEA,63417380
PRGO,140405730
HAFC,31882286
ZM,32762290
AWK,183083190
DBL,15237042
CELG,739214400
SPAR,36935901
JYNT,14307813
SIGA,83687638
EVRG,253193136
ACAD,145506856
EDD,69726091
FMBI,113984778
NOA,26414049
NFLX,455679113
ROL,333600308
RHI,120945801
MX,35041496
CASY,37573729
ASX,2191568660
EHTH,23454960
USM,54421135
APTV,264798047
KTB,57525536
NTAP,250994785
GTX,74763516
MSVB,3539841
DISCB,6593681
TMDX,21744941
CTMX,47518828
ALSK,54983938
SNFCA,15494232
GLBS,3212177
IAG,471964191
HFFG,23050128
VC,29350282
DRE,376064431
GTN,97023482
NNN,164616710
EDNT,5824147
AERI,46985830
CHY,73640260
TLF,9098346
BSAC,488538043
RCI,415556491
PNRL,9395342
TRCB,8967694
FCT,27221556
MAIN,64269666
KMT,86501730
MPX,34690353
ARMK,252508719
GWW,55733739
CYH,118300137
SXT,43376899
LIVE,1942507
CLR,391876875
PD,78817584
CRCM,33379080
EQR,381544999
CREE,108343300
AEIS,39292286
VOD,2771711181
XNET,67917477
PAR,16490804
GLAD,29713250
AVT,106767968
ORTX,88878149
PXD,174255648
LRCX,155990877
PKO,16406219
CSII,35300347
QRTEB,29714862
CDXC,47127824
BITA,70590047
FSK,530238290
CROX,72321540
BGH,20257922
EMKR,28682384
BSET,10730607
BILI,249891561
VER,979745763
PTLA,69571569
HMNF,4999824
ABCB,48653892
CYTK,59604492
SORL,19399320
SHG,245231965
BNTC,16251760
CCL,531548827
AQN,493626519
APPN,32145077
JAG,222717259
SMSI,32240671
WMS,59606760
SJM,119391592
ILPT,66076277
IPAR,32191651
WAAS,28209568
VG,245156387
YUMC,391994651
JBHT,109500895
BF.A,169020975
FIXX,44425298
ASML,431218828
NWN,31858186
TRNS,7322940
GLT,45474836
STRS,8572170
ARNC,462362938
RBS,6235882636
ALBO,12632471
NAT,162460318
OPHC,1938454
HCP,489102639
BFC,6624379
F,3947951090
PANW,98235723
OCUL,43177745
ELY,96151074
LYG,18144810967
FORR,18992470
SAL,2858822
AEP,497319284
CHMG,4977778
OSUR,65070925
EME,57169111
EXR,127487153
WHF,20897571
FOE,85841619
NBL,489129600
TDS,108261950
CMI,164764933
FCPT,71079455
ETH,27673542
REG,174664963
MWA,165166363
RVSB,23083121
FRO,175246762
GBL,8927015
GDS,135498608
CTVA,6474093
PFBI,15128932
CRWD,18258086
CNET,16663438
EFT,40440245
TYPE,43299089
CPHC,4803791
REZI,124662922
RNG,70361093
PML,63826460
ADMA,61677745
AKAM,165881391
FLT,87036013
SHW,94056189
SCX,6264827
GIFI,15252268
RAVE,15282305
SFST,7689892
PRSP,164791140
CHMI,17167935
NERV,39963844
CFG,463311362
OESX,29955537
WSTG,4516375
LKSD,33683881
EXC,982919174
FCBC,16205190
PBT,48632374
ALGN,81148544
PHX,16740086
LSI,48580359
RVLV,11868997
ELP,130056033
CZZ,135684605
NATI,134807144
GLOB,36857187
FSS,60383519
BOCH,18777774
DISH,241775665
TRC,27223507
HMI,14584607
ATLC,16333753
CLB,44792622
PTVCA,2729136
LPSN,67002624
ADRO,80632246
GBT,56774773
BRK.A,740460
AGLE,30048668
ERF,246243973
NRIM,6892833
ICE,587299243
HWBK,6421489
MMSI,55274196
EFSC,27301769
CMBM,27247636
RDN,209146348
HBM,262811796
REVG,62401763
ING,3899362032
ABIO,1133680
YTEN,13069461
BRKR,160204534
VIAV,239682483
GNUS,10606111
O,319152221
CFX,123168064
SIMO,37261406
IMKTA,14302975
HYI,23298481
KIN,39982533
PCI,138248408
XOMA,9139942
MNDO,20083926
KNSA,19951384
YGYI,29090625
ETR,193564047
CIVB,16307856
NXQ,18559399
ABM,68938418
LDOS,147295885
MAS,303305115
WETF,155756286
SNP,265883804
MANT,27526644
RH,18982411
SBNY,56236608
TCRD,33407101
PSB,28522881
FTEO,19332722
IBM,889488608
TPL,7935953
SBS,692858336
FPRX,36352226
AIR,36754920
SSTI,11516313
FII,102569466
UTL,15224803
SSI,28803636
GNPX,15834726
MLI,59356528
CSTR,17607443
SRCL,93790531
PG,2598476154
ANAT,27901748
KBR,146773767
APU,95426838
MOS,400255313
PINC,64462264
TENB,97464023
LIVN,50257682
AVB,143535010
STZ,174832964
TGLS,45699568
TPGH,46121995
HLX,155435076
PLXS,31379227
ECL,301819920
CYD,41897480
FTSV,31410385
SHO,235932310
ZUMZ,26252648
AMEH,35819067
CIT,97199025
LVS,802611377
SELF,8025747
PAVM,32469843
DOV,152371216
OLBK,17794787
JOE,62381698
HURN,23902585
FRAC,106350826
SBSI,33901608
HBAN,1060421834
YNDX,294168823
CPSH,13775198
WIFI,44579246
PLD,631534313
RDI,21791509
GNLN,10002288
CAH,305416352
EXK,136156592
CBMG,19571197
UN,1469685189
BVSN,5096812
ETTX,13320906
KDMN,135838188
MIND,12655688
PFPT,56100892
WVVI,5082291
BTU,109339011
AFIN,109182196
BREW,19879346
ITUB,4846753043
CNK,121101970
CHA,139052803
SRTS,16617316
NTB,55130720
CUI,29973805
CTLT,152580085
DCAR,3954456
AVDL,37456423
MNLO,24695136
PFBC,15802560
BPR,97569327
GEMP,14795860
SREV,96969106
TTOO,45230678
KMF,49429112
MSL,17148999
APRN,6795063
LANC,28490685
KGC,1253397238
FUV,16999078
NLS,30751107
CHRS,70918457
FFIN,135916081
ATUS,499873811
AVRO,24508760
CIG,980619444
NIU,64664757
KNL,50150057
SAVE,69028925
VCRA,32225809
AN,93572301
FRME,50477428
MFG,13231193188
EGOV,68347546
CMFN,13909784
AXLA,23585034
ZAGG,29622071
SCWX,11587233
HUBS,43943218
EARS,1937212
TWN,8001523
AWRE,22044314
GSBD,40962626
ADIL,10344954
NIHD,105313021
SMHI,22234857
UNH,990446865
FMCI,21594839
LMAT,20489665
AQUA,117872866
AAPL,4754957610
QD,241771121
ETJ,64299943
CARE,27072924
CS,2599005854
CLSN,20878913
UTX,885841907
BBD,4130139616
FIZZ,47563510
NATH,4212582
CIEN,155399685
CL,875258109
PKG,95053726
PLUS,13652832
WRLD,9401937
PDCO,98061089
CISN,151369050
AABA,608657150
ARCI,1720764
VCYT,50177823
UFCS,25406716
CMP,33971805
SIX,85502055
NBN,9353640
VRNS,30725101
MACK,13427933
INOD,26955368
STFC,44931431
QTRH,123518963
LFC,1492314906
MED,12185797
TCI,9013111
JMEI,76701654
Z,144534966
NXTC,23083531
VNE,112702451
EBMT,6509705
MEDP,36854689
IPHS,20615377
CRAY,42024853
WDC,296075303
WK,36399956
IMUX,1109345
BYFC,19965694
ADPT,121411342
GILD,1329840223
OPRX,14201219
APC,524843726
ACNB,7083946
OCSL,147433441
FIT,225062800
ASR,28159245
WUBA,129643139
CMTL,25005144
GPRE,43053063
MYGN,76165296
PVTL,101108957
NATR,19352246
GHM,9965467
VRML,76996325
TCX,11045581
FTSI,113755194
AQ,37554024
CVGW,17655782
EMO,73409724
HIL,57268242
RY,1501139336
FAMI,12767333
TIBR,22391119
NTRP,13359116
FNHC,12944617
POR,89777036
MVBF,11715939
CCXI,58460597
NMFC,80751184
SCKT,6165848
AVLR,74403013
UTSI,36646497
TPB,19798005
PRLB,28140228
ERJ,191434306
PFIN,3179175
PLBC,5291181
SFM,120635666
CBM,33897846
COLD,152886051
WSR,41336477
FUNC,7204842
ATI,128174451
KREF,59374230
HMTV,20187592
SIEN,50431298
NRG,269210005
SAVA,17805186
MOTS,22300687
EQBK,16262967
HCHC,46190180
COT,136549293
ALLT,34510976
FOXF,40042153
AMOV,26815379
AHPI,4123623
OPRA,114679467
BXMX,107747766
EEI,3229292
IO,14240914
CATB,11579423
SBR,15291578
GOL,138792258
INOV,76418143
IT,90954166
ES,336822602
ANIK,14606996
SNR,84854758
PCAR,358937308
SMRT,48941134
LOCO,38972980
TOUR,125023932
WAIR,104515657
TRMT,8527960
IMOS,36930706
IRDM,117810057
ONCE,38835125
KLXE,23203609
CUE,21538924
BQH,2815404
EPR,75877774
EGBN,35047159
LOAN,9819414
PROV,7544514
TRQ,2030669323
RDHL,28857788
SDLP,77359206
LINC,25890073
RESN,28270047
FRTA,64553754
STBA,35348447
L,306691598
SGEN,167157028
FXNC,5119951
ICLR,56668212
VRNA,13654262
LBC,56624358
UEIC,14231006
EQC,124004138
AIRT,3098894
CPRX,107210494
MXIM,273681768
GS,381973975
BBX,81806543
MRKR,13940501
NDLS,44437915
INMB,10499336
NMRD,213320833
PRGS,44615672
ARCT,10876016
BA,585775683
BAX,523901344
FE,537433545
RF,1022184020
SQNS,96498570
AKBA,123300549
MSTR,8429991
TLC,32413302
NRC,25408222
PNRG,2108637
CHEF,30609224
G,190594484
CRNX,25338975
BNGO,11227636
PRAH,66319791
UGP,2240818149
BELFB,10253368
CXW,121941036
ATVI,785459998
LEVI,43998081
UBNK,53654230
FORK,15895374
ACB,1061388892
LORL,22421266
RJF,143250857
VRSK,170240790
ROAD,32006669
CASH,40639805
WTRE,23209380
CSLT,110886333
LZB,47600080
RNST,61155519
TERP,215656708
SMPL,83068675
ATRC,39225076
TJX,1261033935
ETRN,265038656
HLG,26209790
AMBA,33303793
SBAC,117108572
HTGM,28750081
BHVN,46218450
CRMT,6713235
CELH,60027861
MOR,131180392
FARO,18031767
CCH,45670218
FOXA,360998952
CZFC,2655728
AZN,2629563659
AMTB,29035127
VNET,83667785
PACK,30414367
GSHD,15048244
SNY,2582924398
TSN,305865183
UE,122550400
HI,65748313
GMDA,26120500
BBSI,7416813
BIOS,129126867
ARDS,8218296
BDSI,89943352
AAON,52637939
SLGN,115055704
HROW,25047854
HPI,26737063
VSAT,61602042
STCN,62095472
WHD,37916612
LNN,10836846
PCRX,41458865
CURO,46815640
DECK,29927247
BCC,40751785
PSTG,262839139
CBZ,55588517
EFBI,1713302
ATLO,9670408
VNDA,54286574
PBTS,9114483
PVH,77132157
BECN,69049251
INFN,179772371
PRI,42380492
ISSC,17053731
WLH,34532252
NMR,3338428087
SLCT,19408939
SWI,323256967
SAIL,92225647
PVBC,9656545
RIOT,16090354
HPE,1405042413
CNA,272346712
PNW,114355126
PFS,68809921
PKD,15754694
CCI,436456380
AMD,1108569169
AIG,897012341
ALTR,39371836
DB,2121313267
