ticker,shares
CHH,55998612
CNP,511761161
PLL,6958416
TNET,70311269
VRAY,97169502
GABC,25930612
BLKB,49447292
AVNS,49301896
NVRO,31448551
UL,1217097484
ZNGA,967779457
IRT,91491208
MYJ,24803469
BRPA,9069616
MCS,20694284
LPCN,25137987
OMF,138588206
CFMS,68237543
LAUR,121545340
GD,295938579
HTBK,45217341
AMP,139811976
THR,33017697
ZUO,87985460
CIZN,5126260
BSTC,7545396
FTK,58124260
MRCY,57844553
DNBF,4486116
BB,557706499
SIBN,25768985
BMY,1638846920
WEX,44093418
NKE,1258238870
CBPX,36205581
EIDX,37700562
CO,125373334
FRGI,27510098
NCLH,223898705
ANFI,45670798
NMIH,68540395
BL,56606997
REPL,32715358
SRAX,10230215
TRMB,262802710
AEGN,31844300
RMAX,18155400
NCSM,48318736
ARCE,22958978
CBD,173840334
AVX,175463587
WRTC,29873513
DSL,101419131
SMMF,12929619
WLDN,11195457
NOVT,36033600
MU,1145181325
NOVN,26928381
PEIX,52031635
ICD,79749355
STKS,29604633
AMSF,19599099
FNJN,27930796
APPF,16313988
PENN,119096915
JGH,23661253
FBMS,17865951
HHR,51047008
NK,99161442
TREE,13076154
ICBK,6723447
CHCO,17257641
REPH,23047279
CVEO,176688609
AMBC,46933091
VBTX,55269074
AVID,43275506
PEG,520744270
NSP,42071206
SFLY,34436343
CVGI,31555753
OVBC,4888587
OPNT,4118570
VSM,109713222
TTNP,80443020
ORGS,16188528
ARC,47082218
SFET,2458290
GTHX,38664242
OPI,48805136
AZUL,113413219
MMI,39908091
FLL,27147046
BYSI,24188142
ETSY,123931749
TAYD,3584829
PFGC,106875633
BVXV,6725882
CASI,99411340
FBM,44080720
ZBH,211203794
EBAY,889305862
IBN,3270153791
NEWR,60950844
SMAR,49646211
APM,6544119
SEEL,21719672
AMRN,339806901
SBBP,55331745
DHIL,3557282
EPAY,43538628
TNXP,6374588
GRIN,19562123
AXS,84291331
IBTX,44516459
BPMC,48879407
PRTA,40888750
SBH,123957887
STOR,229183402
SESN,79096097
SUP,26217708
ULTA,58496050
FDC,577084069
NDAQ,170139414
UNIT,185917432
ARD,18690816
LFVN,14385589
LKCO,202110154
UONEK,38839653
PBR.A,2858301744
ALXN,233297145
NEU,11533812
CFR,64796021
SEAC,37387119
MRNS,54457406
BKE,51364311
RL,53537117
HSBC,4161329096
MCK,192761668
CATS,16867275
CTRC,60825298
GNTX,263779073
OKTA,108397179
BSE,6720332
EDUC,8201744
FDX,262182954
RBCN,2765520
LPI,244689718
C,2318928052
INN,108162887
BCOM,38518862
ACV,10325086
CONE,114802021
GRPN,573110871
MLNX,57145303
TA,41964940
CDTX,27728716
WBS,93863496
KTOV,20227263
OPY,13343877
TROX,156675678
IPGP,53640548
FMBH,16683998
RGEN,49740375
ATSG,61484954
BAS,27973700
LOW,801752878
GKOS,38137413
ASB,164733273
DSKE,67379364
POL,78784314
QRHC,15722687
JPI,23394530
ACHC,91627918
AGMH,22074837
SNE,1302060514
ANGI,88236005
H,38803837
INXN,73566217
UBER,1739970818
OSK,71180697
HIG,362579384
CMS,284468167
WMC,54913278
PFMT,55015323
MTEX,2448667
GLIBA,105885838
SPOK,19585671
ADC,39095605
AGYS,24474677
DGII,28115155
APEN,22594546
KBSF,2607891
SSFN,8987001
SAIA,26956664
CDNA,42200604
DSWL,16004265
UBOH,3319622
HEES,37057652
RBB,20850624
WINS,20701937
ASPS,17034255
YVR,4027551
GECC,10100833
QTRX,25285664
MRTN,57211449
CNHI,1370430072
KEQU,2781495
RYI,38481015
FVRR,31845448
HSC,80706818
PRTS,36807955
NYMT,214737853
EGAN,31121789
HOFT,11917586
FRBA,19086803
BOOT,28407417
EE,42059301
PODD,60999038
PMBC,22374170
HCI,8546876
NINE,31713593
ETM,141177311
BSX,1406664545
CKPT,30463726
FIVN,59875197
LL,29538987
INTG,2373060
HK,164474302
BELFA,2210032
TCBK,30959483
PRO,38633419
TGH,58139837
ADXS,8389748
GNL,85737787
QEP,246857983
CEA,95439374
SLGL,19627077
CBFV,5665332
TRTX,74431673
RNGR,8626202
BCOW,4953635
FCX,1482189854
CZR,679130014
SNES,25692479
ESRT,180220819
CNCE,24510348
SNH,248272681
DYNT,8640452
OHRP,2864504
SEAS,86903345
NTEC,33841142
HSKA,8018237
TELL,248701815
CRWS,10273916
FRT,78019772
LAZY,8891091
NDRA,7670782
CSS,8865281
APOG,26900690
TRMD,74120040
THO,56833826
MUI,39140100
SPPI,107276436
AMRC,31537359
GME,103260003
TECK,569452442
BID,48146985
CWBR,43453595
SGMO,103743179
HAE,53561126
ENTG,141721427
STNG,53323992
MPC,694743536
AMKR,243598636
LFUS,25915881
RENN,49538123
SENEB,1942468
SHAK,30631336
PEGA,80618445
BWXT,97147860
GIII,49520326
GIGM,11584357
AGM.A,1060712
PGR,598060793
CTXS,132214449
PE,287137725
FMC,133432783
ELOX,39574424
ITW,329179500
LGCY,115396092
GHC,4537150
XENT,31481114
WF,228187189
STRT,3812877
FWRD,28800135
ACRX,81582958
PRCP,9668765
CVCO,9550560
LIN,566252843
EURN,219831904
BKI,151586714
MFGP,351511031
ECOL,22546636
CPTA,16326070
CNNE,72832870
BANR,35138248
AKTS,31216674
ASTE,22756468
NBHC,32376705
DTIL,52806990
FCF,100861355
FI,235899402
JCOM,50167256
GMED,78875478
GOLF,76297368
LRAD,34037352
MCA,35687465
DE,330985642
WASH,17699837
OFG,52056808
UNAM,5514818
KURA,38386242
PTNR,165772399
SCHW,1388976440
SXI,12721737
MG,30020557
IDXX,88061443
RAND,6406520
ONCS,6642142
JEC,140024713
ZNH,74230668
CGA,48087781
ADTN,49348666
APLT,17708791
CCMP,29817905
BWAY,11636631
BFRA,23034799
BIOC,38627311
ASRV,18202496
GOOGL,310936237
HBP,26722377
ZYNE,21701826
PRVL,35003443
AMC,52279779
MUSA,32225523
GOOG,355711509
MCB,8676613
CMO,87237157
FPH,70338716
PJT,24869534
EYEN,12538238
RBBN,111776449
LADR,107484351
MGTX,34324957
WEC,325239365
SPNE,19431900
CJ,67864857
PSO,787272668
ALRN,27050663
SC,366749124
ODFL,84128920
IGR,121761718
HDB,950697002
